HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459715.94897,2022-05-16.4486995,br,1.40,15.653,>15.653,99.990,0.968,0.398,g
2459715.95030,2022-05-16.4500288,br,1.44,15.520,>15.520,99.990,-0.774,0.450,g
2459731.82423,2022-06-01.3230143,br,1.48,17.475,>17.475,99.990,-0.066,0.074,g
2459731.82547,2022-06-01.3242454,br,1.48,17.413,>17.413,99.990,0.132,0.079,g
2459731.82670,2022-06-01.3254835,br,1.47,17.597,>17.597,99.990,0.101,0.066,g
2459740.81147,2022-06-10.3097460,br,1.45,16.853,>16.853,99.990,-0.082,0.132,g
2459740.81271,2022-06-10.3109856,br,1.46,16.891,>16.891,99.990,0.116,0.127,g
2459740.81395,2022-06-10.3122310,br,1.49,16.896,>16.896,99.990,0.087,0.127,g
2459742.80634,2022-06-12.3045057,br,1.48,16.258,>16.258,99.990,0.233,0.228,g
2459742.80758,2022-06-12.3057428,br,1.40,16.317,>16.317,99.990,-0.562,0.216,g
2459742.80881,2022-06-12.3069811,br,1.47,16.263,>16.263,99.990,1.074,0.228,g
2459746.84205,2022-06-16.3400033,br,1.49,16.547,>16.547,99.990,0.812,0.175,g
2459746.84328,2022-06-16.3412424,br,1.46,16.454,>16.454,99.990,-0.401,0.190,g
2459746.84452,2022-06-16.3424831,br,1.50,16.391,>16.391,99.990,-0.163,0.202,g
2459753.71286,2022-06-23.2104723,br,1.64,17.398,>17.398,99.990,0.021,0.080,g
2459753.71409,2022-06-23.2117070,br,1.59,17.436,>17.436,99.990,0.007,0.077,g
2459753.71533,2022-06-23.2129476,br,1.56,17.416,>17.416,99.990,0.109,0.078,g
2459755.73232,2022-06-25.2298462,br,1.43,17.751,>17.751,99.990,0.138,0.058,g
2459755.73355,2022-06-25.2310783,br,1.46,17.471,>17.471,99.990,0.213,0.075,g
2459755.73479,2022-06-25.2323152,br,1.42,17.507,>17.507,99.990,0.101,0.072,g
2459759.94609,2022-06-29.4434326,br,1.40,17.008,>17.008,99.990,0.032,0.114,g
2459759.94734,2022-06-29.4446724,br,1.45,17.279,>17.279,99.990,0.023,0.089,g
2459759.94855,2022-06-29.4458966,br,1.49,17.313,>17.313,99.990,-0.018,0.086,g
2459769.86583,2022-07-09.3627861,br,1.41,17.822,>17.822,99.990,-0.008,0.054,g
2459769.86706,2022-07-09.3640115,br,1.52,17.513,>17.513,99.990,0.170,0.072,g
2459769.86830,2022-07-09.3652582,br,1.42,17.464,17.117,0.160,0.516,0.076,g
2459772.75210,2022-07-12.2489603,br,1.42,15.239,>15.239,99.990,-1.602,0.583,g
2459772.75334,2022-07-12.2501997,br,1.41,15.314,>15.314,99.990,0.136,0.544,g
2459772.75459,2022-07-12.2514474,br,1.49,15.512,>15.512,99.990,-3.697,0.457,g
2459772.77487,2022-07-12.2717309,br,1.41,15.346,>15.346,99.990,-0.640,0.528,g
2459772.77611,2022-07-12.2729678,br,1.48,15.599,15.325,0.173,2.692,0.422,g
2459772.77734,2022-07-12.2741979,br,1.38,15.525,>15.525,99.990,-0.258,0.448,g
2459773.79220,2022-07-13.2890343,br,1.97,14.958,14.607,0.161,5.212,0.764,g
2459773.79345,2022-07-13.2902775,br,1.89,14.803,>14.803,99.990,1.384,0.871,g
2459773.79469,2022-07-13.2915203,br,1.96,14.785,>14.785,99.990,1.500,0.886,g
2459783.92542,2022-07-23.4219861,br,1.50,17.318,>17.318,99.990,0.183,0.086,g
2459783.92665,2022-07-23.4232113,br,1.48,17.099,>17.099,99.990,0.053,0.105,g
2459783.92788,2022-07-23.4244449,br,1.44,17.027,>17.027,99.990,0.005,0.112,g
2459787.67404,2022-07-27.1705245,br,2.12,17.523,>17.523,99.990,0.048,0.071,g
2459787.67528,2022-07-27.1717642,br,2.11,17.558,>17.558,99.990,0.161,0.069,g
2459787.67651,2022-07-27.1729978,br,2.10,17.525,>17.525,99.990,-0.120,0.071,g
2459788.88387,2022-07-28.3803293,br,1.40,17.056,>17.056,99.990,-0.022,0.109,g
2459788.88510,2022-07-28.3815667,br,1.40,17.243,>17.243,99.990,0.066,0.092,g
2459788.88634,2022-07-28.3828085,br,1.39,17.254,>17.254,99.990,0.266,0.091,g
2459790.79011,2022-07-30.2865540,br,1.50,17.807,>17.807,99.990,0.122,0.055,g
2459790.79135,2022-07-30.2877972,br,1.42,17.864,>17.864,99.990,0.055,0.052,g
2459790.79259,2022-07-30.2890275,br,1.45,17.713,>17.713,99.990,0.024,0.060,g
2459791.95225,2022-07-31.4486725,br,1.52,17.549,>17.549,99.990,0.090,0.069,g
2459791.95350,2022-07-31.4499120,br,1.54,17.605,>17.605,99.990,0.062,0.066,g
2459791.95471,2022-07-31.4511377,br,1.48,17.461,>17.461,99.990,0.014,0.075,g
2459797.69755,2022-08-06.1939101,bF,1.52,16.865,>16.865,99.990,0.217,0.130,g
2459797.69884,2022-08-06.1952039,bF,1.51,16.853,>16.853,99.990,-0.070,0.132,g
2459797.70015,2022-08-06.1965065,bF,1.46,17.007,>17.007,99.990,-0.163,0.114,g
2459799.69220,2022-08-08.1885421,bF,1.94,16.424,>16.424,99.990,-0.155,0.196,g
2459800.68755,2022-08-09.1838895,bF,2.00,16.264,>16.264,99.990,-0.168,0.227,g
2459800.68885,2022-08-09.1851858,bF,1.98,16.184,>16.184,99.990,-0.065,0.244,g
2459800.69013,2022-08-09.1864721,bF,1.99,16.238,>16.238,99.990,0.544,0.232,g
2459801.67421,2022-08-10.1705462,bF,1.58,15.522,>15.522,99.990,-0.633,0.449,g
2459801.67550,2022-08-10.1718326,bF,1.56,15.619,>15.619,99.990,-0.001,0.410,g
2459801.67680,2022-08-10.1731311,bF,2.06,15.671,>15.671,99.990,0.760,0.392,g
2459801.90487,2022-08-10.4012068,br,1.46,16.521,>16.521,99.990,0.184,0.179,g
2459801.90611,2022-08-10.4024497,br,1.55,16.360,16.298,0.208,1.098,0.209,g
2459801.90735,2022-08-10.4036858,br,1.46,16.154,>16.154,99.990,0.317,0.251,g
2459805.69294,2022-08-14.1892748,bF,1.59,16.071,>16.071,99.990,-0.258,0.271,g
2459805.69422,2022-08-14.1905623,bF,1.57,16.049,>16.049,99.990,-0.351,0.277,g
2459805.69552,2022-08-14.1918539,bF,1.58,15.975,>15.975,99.990,-0.124,0.296,g
2459807.65297,2022-08-16.1493032,bF,1.64,16.619,>16.619,99.990,-0.303,0.164,g
2459807.65426,2022-08-16.1505895,bF,1.61,16.637,>16.637,99.990,0.145,0.161,g
2459807.65555,2022-08-16.1518821,bF,1.56,16.747,>16.747,99.990,0.470,0.146,g
2459808.65564,2022-08-17.1519844,bj,1.57,16.935,>16.935,99.990,0.230,0.122,g
2459808.65689,2022-08-17.1532298,bj,1.55,17.039,>17.039,99.990,-0.067,0.111,g
2459808.65813,2022-08-17.1544680,bj,1.51,16.830,>16.830,99.990,0.152,0.135,g
2459809.66304,2022-08-18.1593818,bj,1.56,17.318,>17.318,99.990,-0.193,0.086,g
