,runcat_id,ra,dec,n_datapoints,snr,q_min,q_max,u_min,u_max,i_min,i_max,Gmag,BP-RP,Dist,b_Dist_cds,B_Dist_cdsa,RPlx,qui_min,M_G,url,qui_diff
631,36641937,76.50381821252748,-71.00673888217189,1,7.0857253074646,,,,,17.80474090576172,18.509235382080078,17.805685,2.703785,221.7614,217.2853,226.1764,49.88390637828844,17.80474090576172,11.076255226594245,http://gemtom.blackgem.org/transients/36641937,0.7044944763183594
632,36641939,76.773957791161,-71.00413324351294,2,7.311943054199219,,,,,18.419950485229492,18.676008224487305,18.274885,1.241816,2112.9358,1881.9274,2427.207,7.7499169233545535,18.419950485229492,6.6504534923279195,http://gemtom.blackgem.org/transients/36641939,0.2560577392578125
633,36642021,76.84425176951615,-70.87141085687439,2,6.203526496887207,,,,,18.429269790649414,18.817611694335938,17.53356,1.713232,891.3709,868.3497,915.5737,37.750758089107194,18.429269790649414,7.783267740724829,http://gemtom.blackgem.org/transients/36642021,0.38834190368652344
634,36646113,80.13799012596168,-69.96131721479244,3,23.594940185546875,16.66653823852539,19.30033302307129,18.434709548950195,18.60790252685547,15.982833862304688,18.107114791870117,16.329155,1.942842,5911.1665,5334.0107,6354.1147,11.589340890732707,15.982833862304688,2.47078903846716,http://gemtom.blackgem.org/transients/36646113,2.1242809295654297
635,36646123,76.76885252111597,-71.16708166533799,1,9.22364902496338,,,,,17.83327293395996,18.302854537963867,17.707706,1.435862,1766.0532,1703.2977,1831.2244,27.610392513838008,17.83327293395996,6.472687090093391,http://gemtom.blackgem.org/transients/36646123,0.46958160400390625
636,36647072,78.00537896532062,-69.67706605287543,2,8.648449897766113,19.23564910888672,19.23564910888672,,,18.432327270507812,18.946752548217773,18.799871,1.263332,1608.608,1514.9705,1701.8884,17.21192031367781,18.432327270507812,7.767619878878511,http://gemtom.blackgem.org/transients/36647072,0.5144252777099609
638,36674570,13.68621309726896,-72.6677975526388,1,34.303035736083984,17.147397994995117,19.106021881103516,,,16.820180892944336,16.820180892944336,17.467583,1.321026,1547.0153,1438.7299,1634.0809,15.838314623421441,16.820180892944336,6.520109955508609,http://gemtom.blackgem.org/transients/36674570,0.0
641,36712084,77.16140826962643,-71.02122166743366,2,7.41300630569458,,,,,18.29578399658203,18.353195190429688,17.080845,1.603674,5111.3647,3961.826,5772.773,5.644963325817928,18.29578399658203,3.538160653385731,http://gemtom.blackgem.org/transients/36712084,0.05741119384765625
642,36712085,77.24065906268424,-71.00570082090749,2,12.844484329223633,,,,,17.421741485595703,17.593976974487305,16.04072,1.840487,383.8535,380.9071,387.3992,118.25249148965678,17.421741485595703,8.119892475575405,http://gemtom.blackgem.org/transients/36712085,0.17223548889160156
643,36712173,80.16664324180776,-70.07489044338128,2,22.880027770996097,16.776735305786133,17.424100875854492,,,16.648006439208984,18.04670524597168,16.037859,0.969804,3177.9895,3027.5562,3361.3525,19.041490274158225,16.648006439208984,3.527096710123363,http://gemtom.blackgem.org/transients/36712173,1.3986988067626953
646,36720744,80.79043445310509,-69.9120852047719,2,10.589091300964355,16.42593002319336,18.358633041381836,17.22813606262207,18.11192512512207,16.887693405151367,18.556671142578125,16.589302,-0.10623,16066.99,15906.943,16386.496,67.00819304644118,16.42593002319336,0.5596293830878167,http://gemtom.blackgem.org/transients/36720744,1.9327030181884766
648,36720745,80.79040133191384,-69.91208067462422,2,10.589091300964355,16.42593002319336,18.358633041381836,17.22813606262207,18.11192512512207,16.887693405151367,18.556671142578125,16.589302,-0.10623,16066.99,15906.943,16386.496,67.00819304644118,16.42593002319336,0.5596293830878167,http://gemtom.blackgem.org/transients/36720745,1.9327030181884766
