name,ra,dec,galactic_lng,galactic_lat,type,groups,ID,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
AT 2024ery,120.27713749999998,-66.15417222222223,279.0007801470418,-18.020561865610045,SIDEREAL,Public,148491,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J080106.51-660915.0,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,18.03,BG-q-BlackGem,2024-03-15 00:50:13.000,BlackGEM_Bot1,,2024TNSTR.753....1T,,
AT 2024erv,265.5448958333333,-63.649166666666666,329.2226269768428,-16.91988163945727,SIDEREAL,Public,148487,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J174210.77-633856.9,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.4,BG-q-BlackGem,2024-03-17 07:20:31.000,BlackGEM_Bot1,,2024TNSTR.740....1T,,
AT 2024erh,112.2438,-50.57361944444445,262.47215312609893,-15.073523125538415,SIDEREAL,Public,148473,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J072858.51-503425.0,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.26,BG-q-BlackGem,2024-03-19 00:55:56.000,BlackGEM_Bot1,,2024TNSTR.740....1T,,
AT 2024erg,164.14730416666663,-46.08555833333334,282.9927241805749,12.292512466027569,SIDEREAL,Public,148472,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J105635.35-460508.0,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,17.56,BG-q-BlackGem,2024-03-19 03:35:57.000,BlackGEM_Bot1,,2024TNSTR.740....1T,,
AT 2024eil,128.7100875,-59.98935,275.5792483621752,-11.581385727109138,SIDEREAL,Public,148242,,,,,"BlackGEM, ATLAS","BlackGEM, ATLAS",,ATLAS; BlackGEM,BGEM J083450.42-595921.6,"ATLAS-CHL - ATLAS-04, BG4 - BlackGEM-Cam4",,1,1,,19.16,BG-q-BlackGem,2024-03-16 02:02:56.000,BlackGEM_Bot1,,2024TNSTR.716....1T,,
AT 2024eik,293.6461166666666,-71.32526388888888,324.0162842586249,-29.03276832007244,SIDEREAL,Public,148241,,,,,"BlackGEM, ATLAS","BlackGEM, ATLAS",,ATLAS; BlackGEM,BGEM J193435.06-711930.9,"ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,18.74,BG-q-BlackGem,2024-03-16 09:19:21.000,BlackGEM_Bot1,,2024TNSTR.716....1T,,
AT 2024ehq,107.677675,-66.45514166666666,277.3423616228738,-22.840078585181026,SIDEREAL,Public,148220,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J071042.64-662718.5,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.75,BG-q-BlackGem,2024-03-15 00:32:26.000,BlackGEM_Bot1,,2024TNSTR.702....1T,,
SN 2024egc,287.93878333333333,-57.13446111111111,339.61502016512014,-25.198868611099797,SIDEREAL,Public,148170,SN IIn,0.01014,,,"BlackGEM, ATLAS","BlackGEM, ATLAS","ePESSTO+, BlackGEM",ATLAS; BlackGEM,BGEM J191145.30-570804.0,"ATLAS-CHL - ATLAS-04, BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam","ESO-NTT - EFOSC2-NTT, Lesedi - Mookodi",1,1,,17.39,BG-q-BlackGem,2024-03-14 09:38:32.000,BlackGEM_Bot1,,2024TNSTR.691....1T,"2024TNSCR.713....1C, 2024TNSCR.712....1M",
AT 2024efu,94.14239583333332,-26.635152777777776,233.82166825524934,-18.96495602907586,SIDEREAL,Public,148162,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J061634.17-263806.5,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,20.23,BG-q-BlackGem,2024-03-13 00:04:58.000,BlackGEM_Bot1,,2024TNSTR.673....1T,,
AT 2024efm,117.20635833333331,-29.775180555555554,245.64076443155471,-2.0071018526133173,SIDEREAL,Public,148150,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J074849.52-294630.6,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,20.63,BG-q-BlackGem,2024-03-08 03:45:37.000,BlackGEM_Bot1,,2024TNSTR.665....1T,,
AT 2024efl,162.1378208333333,-42.85400277777778,280.17196738504623,14.521728497833667,SIDEREAL,Public,148149,,,,,"BlackGEM, ATLAS","BlackGEM, ATLAS",,ATLAS; BlackGEM,BGEM J104833.07-425114.4,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.37,BG-q-BlackGem,2024-02-28 01:31:32.000,BlackGEM_Bot1,,2024TNSTR.665....1T,,
AT 2024efk,91.45402083333332,-27.911058333333333,234.18568053333678,-21.6520658321133,SIDEREAL,Public,148148,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J060548.96-275439.8,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,16.37,BG-q-BlackGem,2024-03-11 23:58:33.000,BlackGEM_Bot1,,2024TNSTR.665....1T,,
AT 2024eah,281.38783333333333,-59.915438888888886,335.7859903027021,-22.52577532214035,SIDEREAL,Public,148008,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J184533.07-595455.5,BG4 - BlackGEM-Cam4,,1,1,,20.19,BG-q-BlackGem,2024-03-06 08:36:58.000,BlackGEM_Bot1,,2024TNSTR.628....1T,,
